1.75,0.45,0.2,1,1000,0.1048,1.09,0.82,0.09367024
1.75,0.45,0.2,1,500,0.0537,1.01,0.81,0.04393197
1.75,0.45,0.2,1,300,0.0313,0.97,0.81,0.02459241
1.75,0.45,0.2,1,200,0.0193,0.91,0.75,0.01317225
1.75,0.45,0.2,1,100,0.01,0.88,0.74,0.006512
1.75,0.45,0.2,2,1000,0.111,1.08,0.83,0.0995004
1.75,0.45,0.2,2,500,0.0543,0.99,0.8,0.0430056
1.75,0.45,0.2,2,300,0.031,0.96,0.81,0.0241056
1.75,0.45,0.2,2,200,0.0195,0.92,0.74,0.0132756
1.75,0.45,0.2,2,100,0.0107,0.85,0.73,0.00663935
1.53,0.2,0.43,1,400,0.058,0.775,0.72,0.032364
1.53,0.2,0.43,2,400,0.0337,0.662,0.77,0.017178238
1.53,0.2,0.63,2,400,0.0633,0.873,0.61,0.033709149
1.53,0.2,0.43,2,200,0.0277,0.81,0.496,0.011128752
1.53,0.2,0.43,2,400,0.0526,0.84,0.526,0.023240784
1.75,1.49,-0.44,3,200,0.0356,0.84,0.62,0.01854048
1.75,1.49,-0.44,3,400,0.06545,0.87,0.606,0.034506549
1.75,1.49,-0.44,3,800,0.12608,0.92,0.658,0.076323789
1.75,1.49,-0.44,3,1000,0.17782,0.94,0.664,0.110988131
1.75,1.49,-0.44,2,200,0.02776,0.87,0.631,0.015239407
1.75,1.49,-0.44,2,400,0.05338,0.89,0.641,0.030452756
1.75,1.49,-0.44,2,800,0.09473,0.92,0.629,0.054818356
1.75,1.49,-0.44,2,1000,0.12644,0.93,0.634,0.074551553
1.53,0.2,0.63,2,810,0.121,0.871,0.768,0.080940288
1.53,0.2,0.63,2,860,0.12,0.867,0.773,0.08042292
1.53,0.2,0.63,2,910,0.125,0.87,0.78,0.084825
1.53,0.2,0.43,2,400,0.055,0.83,0.691,0.03154415
1.91,0.5,0.61,1,1000,0.13,0.64,0.63,0.052416
1.53,0.2,0.48,1,400,0.062,0.871,0.583,0.031483166
1.53,0.2,0.63,2,1000,0.129,0.858,0.753,0.083343546
1.53,0.2,0.53,2,1000,0.157,0.98,0.72,0.1107792
1.53,0.4,0.33,2,1000,0.132,0.84,0.75,0.08316
1.53,0.2,0.33,2,1000,0.15,0.87,0.752,0.098136
1.53,0.2,0.63,2,555,0.0897,0.867,0.7694,0.059836161
1.53,0.2,0.63,2,538,0.0792,0.844,0.7592,0.050748572
1.53,0.2,0.63,2,492,0.0656,0.833,0.755,0.041256824
1.8,0.5,0.5,2,200,0.02273,0.785,0.75,0.013382288
1.8,0.5,0.5,2,500,0.0543,0.813,0.79,0.034875261
1.8,0.5,0.5,2,600,0.06397,0.82,0.79,0.041439766
1.8,0.5,0.5,2,1000,0.10831,0.83,0.8,0.07191784
1.8,0.5,0.5,2,1500,0.841,0.841,0.8,0.5658248
1.8,0.5,0.5,2,2000,0.855,0.855,0.8,0.58482
1.53,0.2,0.63,2,200,0.00201,0.451,0.4544,0.000411918
1.53,0.2,0.63,2,400,0.003,0.502,0.4105,0.000618213
1.53,0.2,0.43,2,200,0.02568,0.805,0.4959,0.010251443
1.53,0.2,0.43,2,400,0.04026,0.842,0.5257,0.017820662
1.3,0.5,0.2,2,1000,0.23,0.26,0.47,0.028106
1.4,0.3,0.1,2,1000,0.28,0.28,0.67,0.052528
1.53,0.2,0.33,2,100,0.01343,0.78,0.78,0.008170812
1.53,0.2,0.33,2,200,0.02572,0.82,0.79,0.016661416
1.53,0.2,0.33,2,400,0.05472,0.85,0.77,0.03581424
1.53,0.2,0.33,2,600,0.07473,0.86,0.8,0.05141424
1.53,0.2,0.33,2,800,0.09661,0.87,0.79,0.066400053
1.53,0.2,0.33,2,1000,0.1307,0.88,0.79,0.09086264
1.55,0.05,0.05,2,400,0.04519,0.86,0.73,0.028370282
